Model_Type_Dataset,Type,dataset,model,AUC,ACC,F1,Precision,Recall,AUC_std,ACC_std,F1_std,Precision_std,Recall_std
0,Origin,1101_1130,model3.1,76.09±0.94,71.09±0.63,70.50±0.47,72.47±1.97,69.91±2.58,,,,,
1,Origin,1101_1130,BiLSTM,64.58±0.29,63.51±0.38,58.61±1.16,64.16±0.89,57.04±2.24,,,,,
2,Origin,1101_1130,DNN,69.63±0.73,71.21±0.55,63.22±1.26,79.65±0.42,52.98±1.82,,,,,
3,Origin,1115_1215,model3.1,80.19±0.97,72.09±1.32,71.74±2.68,76.51±1.56,69.77±5.12,,,,,
4,Origin,1115_1215,BiLSTM,67.08±0.27,65.23±0.24,60.43±0.28,69.39±0.93,56.15±0.56,,,,,
5,Origin,1115_1215,DNN,66.17±0.57,66.44±0.57,58.05±1.28,75.72±1.33,48.62±1.93,,,,,
6,Origin,1201_1231,model3.1,75.98±0.95,70.04±1.12,68.10±1.57,71.83±2.45,68.24±3.81,,,,,
7,Origin,1201_1231,BiLSTM,60.72±1.20,61.75±0.73,53.42±2.39,61.48±0.87,52.01±3.54,,,,,
8,Origin,1201_1231,DNN,58.79±0.61,62.96±0.32,44.59±1.04,69.77±1.26,34.04±1.32,,,,,
9,Origin,1215_0115,model3.1,75.70±4.22,69.69±3.03,65.06±5.17,83.21±3.07,56.48±6.61,,,,,
10,Origin,1215_0115,BiLSTM,59.29±1.04,61.18±0.61,50.17±2.30,55.59±0.70,52.31±3.22,,,,,
11,Origin,1215_0115,DNN,54.23±1.54,61.77±2.65,30.77±6.20,58.94±10.43,22.35±4.88,,,,,
12,Origin,0101_0131,model3.1,73.86±5.25,67.46±3.38,63.96±5.31,80.92±1.83,55.54±5.01,,,,,
13,Origin,0101_0131,BiLSTM,62.46±0.41,63.64±0.59,52.06±0.54,60.34±1.32,50.00±1.21,,,,,
14,Origin,0101_0131,DNN,56.40±0.29,64.01±0.30,32.33±2.39,75.38±2.56,21.33±2.09,,,,,
15,Origin,0115_0215,model3.1,81.20±1.24,73.55±1.80,71.33±4.45,78.68±5.86,68.28±9.45,,,,,
16,Origin,0115_0215,BiLSTM,56.66±0.86,58.14±1.00,50.24±1.26,53.29±1.43,56.15±3.24,,,,,
17,Origin,0115_0215,DNN,51.85±0.41,58.95±0.07,29.40±1.58,50.14±2.25,23.52±1.85,,,,,
18,Origin,0201_0230,model3.1,80.15±1.36,70.73±2.30,73.51±3.56,85.76±3.52,65.79±7.07,,,,,
