Unnamed: 0,dm_1,foto_1,straaling_1,temp_1,lai_1,meldug_1,lai_0,dm_2,foto_2,straaling_2,temp_2,lai_2,meldug_2,dm_3,foto_3,straaling_3,temp_3,lai_3,meldug_3,dm_4,foto_4,straaling_4,temp_4,lai_4,meldug_4,mikro_1,middel_1,mikro_2,middel_2,mikro_3,middel_3,nedboer_1,nedboer_2,nedboer_3,udbytte
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1
3,2,0,1,0,1,2,2,2,2,0,2,2,2,2,2,1,1,1,2,2,1,1,0,0,0,2,2,1,0,1,1,1,1,1,2
4,0,2,0,0,2,1,2,3,3,2,0,1,0,3,3,1,0,2,0,3,2,0,1,0,0,0,2,0,2,1,2,0,2,1,2
5,3,3,1,1,3,2,2,4,4,2,2,3,3,4,2,0,0,2,3,4,1,1,0,0,0,1,1,2,0,2,1,2,0,0,3
6,1,0,1,1,2,1,2,5,3,2,3,2,0,5,0,1,0,1,0,5,3,1,2,0,0,3,0,1,0,1,1,0,2,2,4
7,4,3,2,2,3,2,2,1,3,2,0,3,3,1,1,0,2,2,3,6,4,0,0,0,0,1,1,1,0,3,1,1,1,1,5
8,5,4,1,3,4,3,0,2,3,2,0,0,0,6,0,0,0,0,0,7,4,0,0,0,0,1,2,3,2,1,1,1,1,2,6
9,5,5,1,2,1,1,1,0,5,2,0,3,4,7,2,0,0,2,0,1,5,1,0,0,0,1,3,0,2,0,0,2,2,0,1
10,5,4,1,1,1,0,1,6,3,2,0,1,1,8,4,0,1,2,0,8,5,1,2,0,0,3,1,3,2,0,2,0,1,2,7
11,6,0,0,1,0,4,2,7,6,2,3,0,0,9,5,0,1,3,0,9,6,1,0,1,0,0,3,2,2,1,3,2,0,2,8
12,7,1,1,1,4,0,0,8,4,0,0,0,0,10,0,1,0,3,0,10,0,0,2,0,0,3,0,0,3,2,3,0,1,0,9
13,6,0,0,2,0,0,2,9,7,3,3,4,0,11,6,0,2,3,0,11,7,0,1,1,0,3,2,3,3,2,2,0,0,0,10
14,8,6,1,3,3,0,3,10,8,0,2,3,5,12,7,0,2,2,3,8,1,1,2,0,0,1,1,0,1,1,1,1,2,1,7
15,7,1,0,1,2,3,2,5,3,2,0,2,5,13,0,1,0,1,0,2,3,0,2,0,0,1,2,2,0,1,3,2,0,1,2
